Date,Open,High,Low,Close,Volume,SMA,SD,Upper_Band,Lower_Band,VWAP,EMA12,EMA26,MACD,signalline,RSI,%K,%D,H-L,H-PC,L-PC,ATR
2022-11-23,18325.19921875,18325.400390625,18246.0,18267.25,178800,18139.66240234375,215.77181680022827,18571.206035944208,17708.118768743294,17066.53306181301,18216.601212728645,18025.29835919976,191.30285352888313,210.79556003651265,58.12763100126546,63.7850779104707,54.7882013391515,79.400390625,81.201171875,1.80078125,154.10728236607142
2022-11-24,18326.099609375,18529.69921875,18294.25,18484.099609375,204000,18181.04990234375,196.73376241368507,18574.517427171122,17787.58237751638,17070.944095385115,18257.754812212697,18059.28363699052,198.4711752221774,208.33068307364562,66.32727434007731,91.86155546182458,71.55293676519665,235.44921875,262.44921875,27.0,162.34640066964286
2022-11-25,18528.44921875,18534.900390625,18445.099609375,18512.75,205900,18219.83994140625,180.36300927833744,18580.565959962925,17859.113922849578,17075.566994493154,18296.98484110305,18092.873737954185,204.11110314886537,207.4867670886896,65.38935531664325,96.08304321396994,83.90989219542173,89.80078125,50.80078125,39.0,160.33579799107142
2022-11-28,18430.55078125,18614.25,18365.599609375,18562.75,206500,18258.63740234375,165.12276481691535,18588.88293197758,17928.39187270992,17080.227197492302,18337.87178862566,18127.679386994616,210.19240163104405,208.0278939971605,64.40197429910194,92.01364174665241,93.31941347414897,248.650390625,101.5,147.150390625,164.47154017857142
2022-11-29,18552.44921875,18678.099609375,18552.150390625,18618.05078125,195300,18288.92998046875,172.9220108009655,18634.77400207068,17943.08595886682,17084.91818071315,18380.976249029405,18164.003193976496,216.97305505290933,209.8169262083103,68.30798249070091,91.52689511483958,93.20786002515398,125.94921875,115.349609375,10.599609375,160.68931361607142
2022-11-30,18625.69921875,18816.05078125,18616.55078125,18758.349609375,345600,18319.57744140625,198.5615537829152,18716.70054897208,17922.454333840422,17093.76343426075,18439.033689082575,18208.028854376385,231.00483470618929,214.0545079078861,78.73136450482882,91.54810709984179,91.69621465377791,199.5,198.0,1.5,161.53934151785714
2022-12-01,18871.94921875,18887.599609375,18778.19921875,18812.5,325000,18356.0599609375,218.77893430999214,18793.617829557483,17918.502092317514,17102.47689993308,18496.490044608334,18252.80449479295,243.68554981538546,219.98071628938598,73.06391014035702,90.0431409512761,91.03938105531915,109.400390625,129.25,19.849609375,146.90708705357142
2022-12-02,18752.400390625,18781.94921875,18639.19921875,18696.099609375,254400,18388.22998046875,219.12760513774538,18826.485190744243,17949.974770193257,17108.764620878075,18527.19920841859,18285.641169947172,241.55803847141942,224.29618072579268,66.6923730289321,74.61054027179317,85.400596107637,142.75,30.55078125,173.30078125,152.99651227678572
2022-12-05,18719.55078125,18728.599609375,18591.349609375,18701.05078125,288400,18417.425,220.00561779880854,18857.436235597615,17977.413764402383,17115.691293581574,18553.94560423881,18316.412252265898,237.53335197291017,226.9436149752162,64.45110329328541,75.26697671528008,79.97355264611643,137.25,32.5,104.75,152.37513950892858
2022-12-06,18600.650390625,18654.900390625,18577.900390625,18642.75,217800,18439.4224609375,219.41033416082308,18878.243129259146,18000.601792615857,17120.72029462597,18567.6078189713,18340.58541876472,227.02240020658064,226.95937202148912,60.77265383122569,67.53734048723898,72.47161915810408,77.0,46.150390625,123.150390625,154.17159598214286
